Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
MurrDe00,DAL,RB,26,16,16.0,0,0,0,0.0,0,0,392,1845,4.71,13,64.0,57,416,7.3,0,6,5.0,13,0.0,0.0,294.0,351.1,362.1,322.6,173.0,1,0.0,0.0,0.0,0.0,0.0,24.5,115.31,3.56,26.0,0.0,0.38,0.81,0.0,18.38,21.94,0.0,15.78,2.6,6.16,0,1,0,0,2,3
BellLe00,PIT,RB,22,16,16.0,0,0,0,0.0,0,0,290,1361,4.69,8,105.0,83,854,10.29,3,0,0.0,11,0.0,0.0,288.0,370.5,376.5,329.0,167.0,2,0.0,0.0,0.0,0.0,0.0,18.12,85.06,5.19,53.38,0.19,0.0,0.69,0.0,18.0,23.16,0.0,11.51,6.46,11.65,0,1,0,0,2,3
LyncMa00,SEA,RB,28,16,14.0,0,0,0,0.0,0,0,280,1306,4.66,13,48.0,37,367,9.92,4,4,2.0,17,0.0,0.0,265.0,302.3,310.3,283.8,144.0,3,0.0,0.0,0.0,0.0,0.0,17.5,81.62,2.31,22.94,0.25,0.25,1.06,0.0,16.56,18.89,0.0,12.79,3.79,6.11,0,1,0,0,2,3
BrowAn04,PIT,WR,26,16,16.0,2,2,20,10.0,1,0,4,13,3.25,0,181.0,129,1698,13.16,13,2,2.0,14,1.0,0.0,258.0,386.9,391.9,322.4,136.0,1,0.06,0.12,0.12,1.25,0.0,0.25,0.81,8.06,106.12,0.81,0.12,0.88,0.06,16.12,24.18,0.3,-0.17,15.49,23.55,0,0,1,0,2,3
FortMa00,CHI,RB,29,16,16.0,0,0,0,0.0,0,0,266,1038,3.9,6,130.0,102,808,7.92,4,2,2.0,10,2.0,0.0,245.0,346.6,354.6,295.6,124.0,4,0.0,0.0,0.0,0.0,0.0,16.62,64.88,6.38,50.5,0.25,0.12,0.62,0.12,15.31,21.66,0.0,8.49,6.55,12.92,0,1,0,0,2,3
FostAr00,HOU,RB,28,13,13.0,1,1,5,5.0,1,0,260,1246,4.79,8,59.0,38,327,8.61,5,2,2.0,13,0.0,0.0,236.0,273.5,281.5,254.5,115.0,5,0.08,0.08,0.08,0.38,0.0,20.0,95.85,2.92,25.15,0.38,0.15,1.0,0.0,18.15,21.04,0.32,12.97,4.82,7.75,0,1,0,0,2,3
LacyEd00,GNB,RB,24,16,16.0,0,0,0,0.0,0,0,246,1139,4.63,9,55.0,42,427,10.17,4,3,2.0,13,0.0,0.0,231.0,272.6,280.6,251.6,110.0,6,0.0,0.0,0.0,0.0,0.0,15.38,71.19,2.62,26.69,0.25,0.19,0.81,0.0,14.44,17.04,0.0,10.24,4.17,6.79,0,1,0,0,2,3
NelsJo00,GNB,WR,29,16,16.0,0,0,0,0.0,0,0,0,0,0.0,0,151.0,98,1519,15.5,13,0,0.0,13,0.0,0.0,230.0,327.9,330.9,278.9,108.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,94.94,0.81,0.0,0.81,0.0,14.38,20.49,0.0,0.0,14.37,20.49,0,0,1,0,2,3
ThomDe03,DEN,WR,27,16,16.0,0,0,0,0.0,0,0,0,0,0.0,0,184.0,111,1619,14.59,11,0,0.0,11,1.0,0.0,230.0,340.9,343.9,285.4,108.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,101.19,0.69,0.0,0.69,0.06,14.38,21.31,0.0,0.0,14.24,21.18,0,0,1,0,2,3
BryaDe01,DAL,WR,26,16,16.0,0,0,0,0.0,0,0,0,0,0.0,0,136.0,88,1320,15.0,16,1,0.0,16,0.0,0.0,228.0,316.0,319.0,272.0,106.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,82.5,1.0,0.06,1.0,0.0,14.25,19.75,0.0,0.0,14.25,19.75,0,0,1,0,2,3
GronRo00,NWE,TE,25,15,10.0,0,0,0,0.0,0,0,0,0,0.0,0,131.0,82,1124,13.71,12,0,0.0,12,0.0,0.0,184.0,266.4,269.4,225.4,94.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,74.93,0.8,0.0,0.8,0.0,12.27,17.76,0.0,0.0,12.29,17.76,0,0,0,1,2,2
CharJa00,KAN,RB,28,15,15.0,0,0,0,0.0,0,0,206,1033,5.01,9,59.0,40,291,7.28,5,5,3.0,14,0.0,0.0,210.0,250.4,259.4,230.4,89.0,7,0.0,0.0,0.0,0.0,0.0,13.73,68.87,2.67,19.4,0.33,0.33,0.93,0.0,14.0,16.69,0.0,10.09,3.94,6.61,0,1,0,0,2,3
RodgAa00,GNB,QB,31,16,16.0,341,520,4381,8.43,38,5,43,269,6.26,2,0.0,0,0,0.0,0,12,2.0,2,0.0,1.0,354.0,354.1,367.1,359.1,89.0,1,2.38,21.31,32.5,273.81,0.31,2.69,16.81,0.0,0.0,0.0,0.75,0.12,0.0,22.12,22.13,19.83,2.18,0.0,0.0,1,0,0,0,2,4
LuckAn00,IND,QB,25,16,16.0,380,616,4761,7.73,40,16,64,273,4.27,3,0.0,0,0,0.0,0,13,6.0,3,0.0,0.0,352.0,351.7,379.7,367.7,86.0,2,2.5,23.75,38.5,297.56,1.0,4.0,17.06,0.0,0.0,0.0,0.81,0.19,0.0,22.0,21.98,19.9,2.08,0.0,0.0,1,0,0,0,2,4
BeckOd00,NYG,WR,22,12,11.0,0,1,0,0.0,0,0,7,35,5.0,0,130.0,91,1305,14.34,12,1,1.0,12,0.0,0.0,204.0,295.0,299.0,249.5,82.0,5,0.0,0.0,0.08,0.0,0.0,0.58,2.92,7.58,108.75,1.0,0.08,1.0,0.0,17.0,24.58,0.0,0.12,16.88,24.46,0,0,1,0,2,3
ForsJu00,BAL,RB,29,16,14.0,0,0,0,0.0,0,0,235,1266,5.39,8,59.0,44,263,5.98,0,2,0.0,8,1.0,0.0,203.0,246.9,252.9,224.9,82.0,8,0.0,0.0,0.0,0.0,0.0,14.69,79.12,2.75,16.44,0.0,0.12,0.5,0.06,12.69,15.43,0.0,10.91,1.64,4.39,0,1,0,0,2,3
CobbRa00,GNB,WR,24,16,16.0,0,0,0,0.0,0,0,11,37,3.36,0,127.0,91,1287,14.14,12,4,2.0,12,1.0,0.0,202.0,293.4,298.4,247.9,81.0,6,0.0,0.0,0.0,0.0,0.0,0.69,2.31,5.69,80.44,0.75,0.25,0.75,0.06,12.62,18.34,0.0,-0.02,12.54,18.23,0,0,1,0,2,3
SandEm00,DEN,WR,27,16,16.0,0,0,0,0.0,0,0,8,44,5.5,0,141.0,101,1404,13.9,9,1,0.0,9,1.0,0.0,201.0,301.8,304.8,251.3,79.0,7,0.0,0.0,0.0,0.0,0.0,0.5,2.75,6.31,87.75,0.56,0.06,0.56,0.06,12.56,18.86,0.0,0.28,12.15,18.46,0,0,1,0,2,3
JoneJu02,ATL,WR,25,15,15.0,0,0,0,0.0,0,0,1,1,1.0,0,163.0,104,1593,15.32,6,2,1.0,6,0.0,0.0,193.0,297.4,301.4,245.4,72.0,8,0.0,0.0,0.0,0.0,0.0,0.07,0.07,6.93,106.2,0.4,0.13,0.4,0.0,12.87,19.83,0.0,-0.13,13.02,19.95,0,0,1,0,2,2
MaclJe00,PHI,WR,26,16,16.0,0,0,0,0.0,0,0,0,0,0.0,0,143.0,85,1318,15.51,10,0,0.0,10,0.0,0.0,192.0,276.8,279.8,234.3,70.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31,82.38,0.62,0.0,0.62,0.0,12.0,17.3,0.0,0.0,11.99,17.3,0,0,1,0,2,2
MillLa01,MIA,RB,23,16,16.0,0,0,0,0.0,0,0,216,1099,5.09,8,52.0,38,275,7.24,1,3,3.0,9,0.0,0.0,185.0,223.4,232.4,204.4,64.0,9,0.0,0.0,0.0,0.0,0.0,13.5,68.69,2.38,17.19,0.06,0.19,0.56,0.0,11.56,13.96,0.0,9.49,2.09,4.47,0,1,0,0,2,2
WilsRu00,SEA,QB,26,16,16.0,285,452,3475,7.69,20,7,118,849,7.19,6,1.0,1,17,17.0,0,13,0.0,6,0.0,1.0,330.0,330.6,343.6,337.1,64.0,3,1.25,17.81,28.25,217.19,0.44,7.38,53.06,0.06,1.06,0.0,0.81,0.38,0.0,20.62,20.66,12.81,7.56,0.11,0.17,1,0,0,0,2,4
GateAn00,SDG,TE,34,16,14.0,0,0,0,0.0,0,0,0,0,0.0,0,98.0,69,821,11.9,12,1,0.0,12,0.0,0.0,154.0,223.1,226.1,188.6,64.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,51.31,0.75,0.06,0.75,0.0,9.62,13.94,0.0,0.0,9.63,13.94,0,0,0,1,2,2
