Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
McCaCh01,CAR,RB,23,16,16,0,2,0,0.0,0,0,287,1387,4.83,15,142,116,1005,8.66,4,1,0,19,1.0,0.0,355.0,471.2,477.2,413.2,215.0,1,0.0,0.0,0.12,0.0,0.0,17.94,86.69,7.25,62.81,0.25,0.06,1.19,0.06,22.19,29.45,0.0,14.29,7.78,15.03,0,1,0,0,2,4
JackLa00,BAL,QB,22,15,15,265,401,3127,7.8,36,6,176,1206,6.85,7,0,0,0,0.0,0,9,2,7,0.0,0.0,416.0,415.7,429.7,421.7,152.0,1,2.4,17.67,26.73,208.47,0.4,11.73,80.4,0.0,0.0,0.0,0.6,0.47,0.0,27.73,27.71,17.14,10.57,0.0,0.0,1,0,0,0,2,5
HenrDe00,TEN,RB,25,15,15,0,0,0,0.0,0,0,303,1540,5.08,16,24,18,206,11.44,2,5,3,18,0.0,0.0,277.0,294.6,303.6,285.6,136.0,2,0.0,0.0,0.0,0.0,0.0,20.2,102.67,1.2,13.73,0.13,0.33,1.2,0.0,18.47,19.64,0.0,16.27,2.17,3.37,0,1,0,0,2,3
JoneAa00,GNB,RB,25,16,16,0,0,0,0.0,0,0,236,1084,4.59,16,68,49,474,9.67,3,3,2,19,0.0,0.0,266.0,314.8,322.8,290.3,125.0,3,0.0,0.0,0.0,0.0,0.0,14.75,67.75,3.06,29.62,0.19,0.19,1.19,0.0,16.62,19.68,0.0,12.52,4.09,7.15,0,1,0,0,2,3
ElliEz00,DAL,RB,24,16,16,0,0,0,0.0,0,0,301,1357,4.51,12,71,54,420,7.78,2,3,2,14,0.0,0.0,258.0,311.7,319.7,284.7,117.0,4,0.0,0.0,0.0,0.0,0.0,18.81,84.81,3.38,26.25,0.12,0.19,0.88,0.0,16.12,19.48,0.0,12.73,3.38,6.75,0,1,0,0,2,3
CookDa01,MIN,RB,24,14,14,0,0,0,0.0,0,0,250,1135,4.54,13,63,53,519,9.79,0,4,2,13,0.0,0.0,239.0,292.4,300.4,265.9,99.0,5,0.0,0.0,0.0,0.0,0.0,17.86,81.07,3.79,37.07,0.0,0.29,0.93,0.0,17.07,20.89,0.0,13.39,3.71,7.49,0,1,0,0,2,3
ThomMi05,NOR,WR,26,16,15,0,0,0,0.0,0,0,1,-9,-9.0,0,185,149,1725,11.58,9,1,0,9,0.0,0.0,226.0,374.6,377.6,300.1,97.0,1,0.0,0.0,0.0,0.0,0.0,0.06,-0.56,9.31,107.81,0.56,0.06,0.56,0.0,14.12,23.41,0.0,-0.06,14.16,23.47,0,0,1,0,2,3
KelcTr00,KAN,TE,30,16,16,0,0,0,0.0,0,0,1,4,4.0,1,136,97,1229,12.67,5,1,1,6,0.0,0.0,157.0,254.3,258.3,205.8,80.0,1,0.0,0.0,0.0,0.0,0.0,0.06,0.25,6.06,76.81,0.31,0.06,0.38,0.0,9.81,15.89,0.0,0.28,9.56,15.62,0,0,0,1,2,2
ChubNi00,CLE,RB,24,16,16,0,0,0,0.0,0,0,298,1494,5.01,8,49,36,278,7.72,0,3,3,8,0.0,0.0,219.0,255.2,264.2,237.2,79.0,6,0.0,0.0,0.0,0.0,0.0,18.62,93.38,2.25,17.38,0.0,0.19,0.5,0.0,13.69,15.95,0.0,11.96,1.74,3.99,0,1,0,0,2,3
EkelAu00,LAC,RB,24,16,8,0,0,0,0.0,0,0,132,557,4.22,3,108,92,993,10.79,8,3,2,11,0.0,0.0,217.0,309.0,317.0,263.0,76.0,7,0.0,0.0,0.0,0.0,0.0,8.25,34.81,5.75,62.06,0.5,0.19,0.69,0.0,13.56,19.31,0.0,4.36,9.21,14.96,0,1,0,0,2,3
