Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
BradTo00,NWE,QB,30,16,16,398,578,4806,8.31,50,8,37,98,2.65,2,0.0,0,0,0.0,0,6,4.0,2,0.0,0.0,390.0,390.0,405.0,398.0,186.0,1,3.12,24.88,36.12,300.38,0.5,2.31,6.12,0.0,0.0,0.0,0.38,0.12,0.0,24.38,24.38,23.52,0.86,0.0,0.0,1,0,0,0,2,4
TomlLa00,SDG,RB,28,16,16,1,1,17,17.0,1,0,315,1474,4.68,15,86.0,60,475,7.92,3,0,0.0,18,0.0,0.0,308.0,367.6,373.6,337.6,174.0,1,0.06,0.06,0.06,1.06,0.0,19.69,92.12,3.75,29.69,0.19,0.0,1.12,0.0,19.25,22.98,0.29,14.84,4.09,7.84,0,1,0,0,2,4
MossRa00,NWE,WR,30,16,16,0,0,0,0.0,0,0,0,0,0.0,0,160.0,98,1493,15.23,23,0,0.0,23,0.0,0.0,287.0,385.3,388.3,336.3,169.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,93.31,1.44,0.0,1.44,0.0,17.94,24.08,0.0,0.0,17.96,24.08,0,0,1,0,2,3
WestBr00,PHI,RB,28,15,15,0,0,0,0.0,0,0,278,1333,4.79,7,118.0,90,771,8.57,5,2,2.0,12,0.0,0.0,278.0,368.4,376.4,323.4,145.0,2,0.0,0.0,0.0,0.0,0.0,18.53,88.87,6.0,51.4,0.33,0.13,0.8,0.0,18.53,24.56,0.0,11.42,7.14,13.14,0,1,0,0,2,3
OwenTe00,DAL,WR,34,15,15,0,0,0,0.0,0,0,1,5,5.0,0,141.0,81,1355,16.73,15,0,0.0,15,0.0,0.0,226.0,307.0,310.0,266.5,108.0,2,0.0,0.0,0.0,0.0,0.0,0.07,0.33,5.4,90.33,1.0,0.0,1.0,0.0,15.07,20.47,0.0,0.03,15.03,20.43,0,0,1,0,2,3
EdwaBr00,CLE,WR,24,16,16,0,0,0,0.0,0,0,0,0,0.0,0,154.0,80,1289,16.11,16,3,2.0,16,0.0,0.0,221.0,300.9,305.9,260.9,103.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.56,1.0,0.19,1.0,0.0,13.81,18.81,0.0,-0.25,14.06,19.06,0,0,1,0,2,3
AddaJo00,IND,RB,24,15,15,0,0,0,0.0,0,0,261,1072,4.11,12,48.0,41,364,8.88,3,0,0.0,15,1.0,0.0,236.0,276.6,282.6,256.1,102.0,3,0.0,0.0,0.0,0.0,0.0,17.4,71.47,2.73,24.27,0.2,0.0,1.0,0.07,15.73,18.44,0.0,11.95,3.63,6.36,0,1,0,0,2,3
PeteAd01,MIN,RB,22,14,9,0,0,0,0.0,0,0,238,1341,5.63,12,28.0,19,268,14.11,1,4,3.0,13,0.0,0.0,233.0,251.9,260.9,242.4,99.0,4,0.0,0.0,0.0,0.0,0.0,17.0,95.79,1.36,19.14,0.07,0.29,0.93,0.0,16.64,17.99,0.0,14.29,2.34,3.7,0,1,0,0,2,3
PortCl00,WAS,RB,26,16,16,1,1,15,15.0,1,0,325,1262,3.88,11,60.0,47,389,8.28,0,6,5.0,11,0.0,0.0,226.0,272.7,283.7,249.2,92.0,5,0.06,0.06,0.06,0.94,0.0,20.31,78.88,2.94,24.31,0.0,0.38,0.69,0.0,14.12,17.04,0.29,11.39,2.43,5.37,0,1,0,0,2,3
RomoTo00,DAL,QB,27,16,16,335,520,4211,8.1,36,19,31,129,4.16,2,0.0,0,0,0.0,0,10,2.0,2,0.0,0.0,295.0,295.3,322.3,314.3,91.0,2,2.25,20.94,32.5,263.19,1.19,1.94,8.06,0.0,0.0,0.0,0.62,0.12,0.0,18.44,18.46,17.15,1.31,0.0,0.0,1,0,0,0,2,3
