Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
FaulMa00,STL,RB,27,14,14,0,0,0,0.0,0,0,253,1359,5.37,18,113.0,81,830,10.25,8,0,0.0,26,2.0,0.0,379.0,459.9,465.9,419.4,228.0,1,0.0,0.0,0.0,0.0,0.0,18.07,97.07,5.79,59.29,0.57,0.0,1.86,0.14,27.07,32.85,0.0,17.42,9.36,15.14,0,1,0,0,2,4
JameEd00,IND,RB,22,16,16,0,0,0,0.0,0,0,387,1709,4.42,13,87.0,63,594,9.43,5,5,4.0,18,1.0,0.0,332.0,395.3,405.3,363.8,181.0,2,0.0,0.0,0.0,0.0,0.0,24.19,106.81,3.94,37.12,0.31,0.31,1.12,0.06,20.75,24.71,0.0,15.06,5.59,9.52,0,1,0,0,2,4
GarcJe00,SFO,QB,30,16,16,355,561,4278,7.63,31,10,72,414,5.75,4,0.0,0,0,0.0,0,7,1.0,4,0.0,1.0,341.0,340.5,357.5,350.5,149.0,1,1.94,22.19,35.06,267.38,0.62,4.5,25.88,0.0,0.0,0.0,0.44,0.25,0.0,21.31,21.28,17.2,3.96,0.0,0.0,1,0,0,0,2,4
CulpDa00,MIN,QB,23,16,16,297,474,3937,8.31,33,16,89,470,5.28,7,0.0,0,0,0.0,0,11,6.0,7,0.0,2.0,338.0,338.5,366.5,354.5,147.0,2,2.06,18.56,29.62,246.06,1.0,5.56,29.38,0.0,0.0,0.0,0.69,0.44,0.0,21.12,21.16,16.09,4.81,0.0,0.0,1,0,0,0,2,4
GeorEd00,TEN,RB,27,16,16,0,0,0,0.0,0,0,403,1509,3.74,14,65.0,50,453,9.06,2,5,4.0,16,0.0,0.0,284.0,334.2,344.2,309.2,133.0,3,0.0,0.0,0.0,0.0,0.0,25.19,94.31,3.12,28.31,0.12,0.31,1.0,0.0,17.75,20.89,0.0,14.18,3.58,6.71,0,1,0,0,2,3
MossRa00,MIN,WR,23,16,16,0,0,0,0.0,0,0,3,5,1.67,0,129.0,77,1437,18.66,15,2,0.0,15,1.0,0.0,236.0,313.2,316.2,274.7,125.0,1,0.0,0.0,0.0,0.0,0.0,0.19,0.31,4.81,89.81,0.94,0.12,0.94,0.06,14.75,19.58,0.0,0.03,14.61,19.42,0,0,1,0,2,3
HarrMa00,IND,WR,28,16,16,0,0,0,0.0,0,0,0,0,0.0,0,169.0,102,1413,13.85,14,2,0.0,14,0.0,0.0,225.0,327.3,330.3,276.3,114.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,88.31,0.88,0.12,0.88,0.0,14.06,20.46,0.0,0.0,14.08,20.46,0,0,1,0,2,3
GonzTo00,KAN,TE,24,16,16,0,0,0,0.0,0,0,0,0,0.0,0,150.0,93,1203,12.94,9,0,0.0,9,0.0,0.0,174.0,267.3,270.3,220.8,113.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,75.19,0.56,0.0,0.56,0.0,10.88,16.71,0.0,0.0,10.89,16.71,0,0,0,1,2,2
OwenTe00,SFO,WR,27,14,13,0,0,0,0.0,0,0,3,11,3.67,0,146.0,97,1451,14.96,13,3,1.0,13,1.0,0.0,224.0,321.2,325.2,272.7,113.0,3,0.0,0.0,0.0,0.0,0.0,0.21,0.79,6.93,103.64,0.93,0.21,0.93,0.07,16.0,22.94,0.0,-0.06,15.94,22.86,0,0,1,0,2,3
SmitRo01,DEN,WR,30,16,16,0,0,0,0.0,0,0,6,99,16.5,1,173.0,100,1602,16.02,8,1,1.0,9,0.0,0.0,222.0,322.1,326.1,272.1,111.0,4,0.0,0.0,0.0,0.0,0.0,0.38,6.19,6.25,100.12,0.5,0.06,0.56,0.0,13.88,20.13,0.0,0.87,13.01,19.26,0,0,1,0,2,3
GannRi00,OAK,QB,35,16,16,284,473,3430,7.25,28,11,89,529,5.94,4,0.0,0,0,0.0,0,9,5.0,4,1.0,0.0,296.0,296.1,318.1,307.1,104.0,3,1.75,17.75,29.56,214.38,0.69,5.56,33.06,0.0,0.0,0.0,0.56,0.25,0.06,18.5,18.51,14.2,4.18,0.0,0.0,1,0,0,0,2,3
MannPe00,IND,QB,24,16,16,357,571,4413,7.73,33,15,37,116,3.14,1,0.0,0,0,0.0,0,5,3.0,1,0.0,2.0,294.0,294.1,318.1,309.1,102.0,4,2.06,22.31,35.69,275.81,0.94,2.31,7.25,0.0,0.0,0.0,0.31,0.06,0.0,18.38,18.38,17.41,0.73,0.0,0.0,1,0,0,0,2,3
AndeMi00,DEN,RB,27,16,12,0,0,0,0.0,0,0,297,1487,5.01,15,32.0,23,169,7.35,0,4,4.0,15,1.0,0.0,250.0,272.6,282.6,261.1,99.0,4,0.0,0.0,0.0,0.0,0.0,18.56,92.94,1.44,10.56,0.0,0.25,0.94,0.06,15.62,17.04,0.0,14.42,1.06,2.49,0,1,0,0,2,3
McNaDo00,PHI,QB,24,16,16,330,569,3365,5.91,21,13,86,629,7.31,6,4.0,2,5,2.5,0,7,4.0,6,0.0,1.0,286.0,288.0,311.0,300.0,94.0,5,1.31,20.62,35.56,210.31,0.81,5.38,39.31,0.12,0.31,0.0,0.44,0.38,0.0,17.88,18.0,12.04,5.68,0.03,0.16,1,0,0,0,2,3
SmitRo00,MIN,RB,28,16,16,0,0,0,0.0,0,0,295,1521,5.16,7,44.0,36,348,9.67,3,4,1.0,10,0.0,0.0,245.0,280.9,287.9,262.9,94.0,5,0.0,0.0,0.0,0.0,0.0,18.44,95.06,2.25,21.75,0.19,0.25,0.62,0.0,15.31,17.56,0.0,12.01,3.3,5.55,0,1,0,0,2,3
TaylFr00,JAX,RB,24,13,13,0,0,0,0.0,0,0,292,1399,4.79,12,53.0,36,240,6.67,2,4,2.0,14,0.0,0.0,244.0,279.9,287.9,261.9,93.0,6,0.0,0.0,0.0,0.0,0.0,22.46,107.62,2.77,18.46,0.15,0.31,1.08,0.0,18.77,21.53,0.0,15.99,2.77,5.54,0,1,0,0,2,3
AlexDe00,KAN,WR,29,16,16,0,0,0,0.0,0,0,3,45,15.0,0,144.0,78,1391,17.83,10,0,0.0,10,0.0,0.0,204.0,281.6,284.6,242.6,93.0,5,0.0,0.0,0.0,0.0,0.0,0.19,2.81,4.88,86.94,0.62,0.0,0.62,0.0,12.75,17.6,0.0,0.28,12.44,17.32,0,0,1,0,2,3
GreeAh00,GNB,RB,23,16,11,0,1,0,0.0,0,0,263,1175,4.47,10,99.0,73,559,7.66,3,6,4.0,13,0.0,0.0,243.0,316.4,326.4,279.9,92.0,7,0.0,0.0,0.06,0.0,0.0,16.44,73.44,4.56,34.94,0.19,0.38,0.81,0.0,15.19,19.77,0.0,10.59,4.62,9.18,0,1,0,0,2,3
BrucIs00,STL,WR,28,16,16,0,0,0,0.0,0,0,1,11,11.0,0,135.0,87,1471,16.91,9,1,1.0,9,0.0,0.0,200.0,287.2,291.2,243.7,89.0,6,0.0,0.0,0.0,0.0,0.0,0.06,0.69,5.44,91.94,0.56,0.06,0.56,0.0,12.5,17.95,0.0,-0.06,12.57,18.01,0,0,1,0,2,3
MartCu00,NYJ,RB,27,16,16,1,1,18,18.0,1,0,316,1204,3.81,9,96.0,70,508,7.26,2,2,2.0,11,0.0,0.0,238.0,307.9,315.9,272.9,87.0,8,0.06,0.06,0.06,1.12,0.0,19.75,75.25,4.38,31.75,0.12,0.12,0.69,0.0,14.88,19.24,0.3,10.65,3.92,8.3,0,1,0,0,2,3
HoltTo00,STL,WR,24,16,15,0,0,0,0.0,0,0,2,7,3.5,0,139.0,82,1635,19.94,6,2,2.0,6,0.0,0.0,196.0,278.2,283.2,237.2,85.0,7,0.0,0.0,0.0,0.0,0.0,0.12,0.44,5.12,102.19,0.38,0.12,0.38,0.0,12.25,17.39,0.0,-0.21,12.47,17.59,0,0,1,0,2,2
WattRi00,SEA,RB,31,16,16,0,0,0,0.0,0,0,278,1242,4.47,7,92.0,63,613,9.73,2,5,2.0,9,0.0,0.0,236.0,298.5,306.5,267.0,84.0,9,0.0,0.0,0.0,0.0,0.0,17.38,77.62,3.94,38.31,0.12,0.31,0.56,0.0,14.75,18.66,0.0,10.14,4.58,8.52,0,1,0,0,2,3
GarnCh00,SFO,RB,28,16,15,0,0,0,0.0,0,0,258,1142,4.43,7,94.0,68,647,9.51,3,4,3.0,10,0.0,0.0,233.0,300.9,309.9,266.9,82.0,10,0.0,0.0,0.0,0.0,0.0,16.12,71.38,4.25,40.44,0.19,0.25,0.62,0.0,14.56,18.81,0.0,9.39,5.17,9.42,0,1,0,0,2,3
McCaEd00,DEN,WR,32,16,16,0,0,0,0.0,0,0,0,0,0.0,0,149.0,101,1317,13.04,9,0,0.0,9,1.0,0.0,188.0,288.7,291.7,238.2,77.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,82.31,0.56,0.0,0.56,0.06,11.75,18.04,0.0,0.0,11.61,17.92,0,0,1,0,2,2
SmitLa00,MIA,RB,30,15,15,0,1,0,0.0,0,0,309,1139,3.69,14,38.0,31,201,6.48,2,3,3.0,16,0.0,0.0,224.0,255.0,264.0,239.5,73.0,11,0.0,0.0,0.07,0.0,0.0,20.6,75.93,2.07,13.4,0.13,0.2,1.07,0.0,14.93,17.0,0.0,12.79,2.14,4.21,0,1,0,0,2,3
HornJo00,NOR,WR,28,16,16,0,0,0,0.0,0,0,6,10,1.67,0,151.0,94,1340,14.26,8,1,0.0,8,0.0,0.0,183.0,277.0,280.0,230.0,72.0,9,0.0,0.0,0.0,0.0,0.0,0.38,0.62,5.88,83.75,0.5,0.06,0.5,0.0,11.44,17.31,0.0,0.06,11.38,17.25,0,0,1,0,2,2
DaviSt00,WAS,RB,26,15,15,0,0,0,0.0,0,0,332,1318,3.97,11,49.0,33,313,9.48,0,4,4.0,11,0.0,0.0,221.0,254.1,264.1,237.6,70.0,12,0.0,0.0,0.0,0.0,0.0,22.13,87.87,2.2,20.87,0.0,0.27,0.73,0.0,14.73,16.94,0.0,12.65,2.09,4.29,0,1,0,0,2,3
GrbaEl00,KAN,QB,30,15,15,326,547,4169,7.62,28,14,30,110,3.67,1,0.0,0,0,0.0,0,7,3.0,1,0.0,0.0,262.0,261.8,284.8,275.8,70.0,6,1.87,21.73,36.47,277.93,0.93,2.0,7.33,0.0,0.0,0.0,0.47,0.07,0.0,17.47,17.45,16.72,0.73,0.0,0.0,1,0,0,0,2,3
BarbTi00,NYG,RB,25,16,12,0,0,0,0.0,0,0,213,1006,4.72,8,95.0,70,719,10.27,1,9,3.0,9,0.0,0.0,221.0,290.5,299.5,255.5,69.0,13,0.0,0.0,0.0,0.0,0.0,13.31,62.88,4.38,44.94,0.06,0.56,0.56,0.0,13.81,18.16,0.0,8.91,4.87,9.24,0,1,0,0,2,3
BrowTi00,OAK,WR,34,16,16,0,0,0,0.0,0,0,3,12,4.0,0,133.0,76,1128,14.84,11,0,0.0,11,0.0,0.0,180.0,256.0,259.0,218.0,69.0,10,0.0,0.0,0.0,0.0,0.0,0.19,0.75,4.75,70.5,0.69,0.0,0.69,0.0,11.25,16.0,0.0,0.08,11.18,15.92,0,0,1,0,2,2
CartCr00,MIN,WR,35,16,16,0,0,0,0.0,0,0,0,0,0.0,0,161.0,96,1274,13.27,9,3,1.0,9,0.0,0.0,179.0,275.4,279.4,227.4,69.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,79.62,0.56,0.19,0.56,0.0,11.19,17.21,0.0,-0.12,11.34,17.34,0,0,1,0,2,2
StewJa00,DET,RB,29,16,16,0,0,0,0.0,0,0,339,1184,3.49,10,48.0,32,287,8.97,1,4,2.0,11,2.0,0.0,213.0,245.1,253.1,229.1,62.0,14,0.0,0.0,0.0,0.0,0.0,21.19,74.0,2.0,17.94,0.06,0.25,0.69,0.12,13.31,15.32,0.0,10.9,2.17,4.17,0,1,0,0,2,3
SmitJi00,JAX,WR,31,15,14,0,0,0,0.0,0,0,0,0,0.0,0,145.0,91,1213,13.33,8,1,0.0,8,0.0,0.0,169.0,260.3,263.3,214.8,58.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,80.87,0.53,0.07,0.53,0.0,11.27,17.35,0.0,0.0,11.29,17.35,0,0,1,0,2,2
DunnWa00,TAM,RB,25,16,14,0,0,0,0.0,0,0,248,1133,4.57,8,69.0,44,422,9.59,1,1,1.0,9,0.0,0.0,208.0,251.5,258.5,229.5,56.0,15,0.0,0.0,0.0,0.0,0.0,15.5,70.81,2.75,26.38,0.06,0.06,0.56,0.0,13.0,15.72,0.0,9.96,3.01,5.76,0,1,0,0,2,3
MoulEr00,BUF,WR,27,16,16,0,0,0,0.0,0,0,2,24,12.0,0,164.0,94,1326,14.11,5,1,0.0,5,0.0,0.0,165.0,259.0,262.0,212.0,54.0,13,0.0,0.0,0.0,0.0,0.0,0.12,1.5,5.88,82.88,0.31,0.06,0.31,0.0,10.31,16.19,0.0,0.15,10.16,16.04,0,0,1,0,2,2
ToomAm00,NYG,WR,26,16,14,0,0,0,0.0,0,0,5,91,18.2,1,124.0,78,1094,14.03,7,1,1.0,8,0.0,0.0,165.0,242.5,246.5,203.5,54.0,14,0.0,0.0,0.0,0.0,0.0,0.31,5.69,4.88,68.38,0.44,0.06,0.5,0.0,10.31,15.16,0.0,0.82,9.46,14.34,0,0,1,0,2,2
SharSh00,BAL,TE,32,16,15,0,0,0,0.0,0,0,0,0,0.0,0,105.0,67,810,12.09,5,0,0.0,5,0.0,0.0,111.0,178.0,181.0,144.5,50.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,50.62,0.31,0.0,0.31,0.0,6.94,11.12,0.0,0.0,6.94,11.12,0,0,0,1,1,1
BostDa00,ARI,WR,22,16,16,0,0,0,0.0,0,0,3,9,3.0,0,133.0,71,1156,16.28,7,2,1.0,7,0.0,0.0,157.0,227.5,231.5,192.0,46.0,15,0.0,0.0,0.0,0.0,0.0,0.19,0.56,4.44,72.25,0.44,0.12,0.44,0.0,9.81,14.22,0.0,-0.07,9.85,14.29,0,0,1,0,2,2
MuhaMu00,CAR,WR,27,16,16,0,0,0,0.0,0,0,2,12,6.0,0,156.0,102,1183,11.6,6,1,0.0,6,0.0,0.0,156.0,257.5,260.5,206.5,45.0,16,0.0,0.0,0.0,0.0,0.0,0.12,0.75,6.38,73.94,0.38,0.06,0.38,0.0,9.75,16.09,0.0,0.08,9.64,16.02,0,0,1,0,2,2
DillCo00,CIN,RB,26,16,16,0,0,0,0.0,0,0,315,1435,4.56,7,26.0,18,158,8.78,0,4,3.0,7,0.0,0.0,195.0,213.3,222.3,204.3,44.0,17,0.0,0.0,0.0,0.0,0.0,19.69,89.69,1.12,9.88,0.0,0.25,0.44,0.0,12.19,13.33,0.0,11.22,0.99,2.11,0,1,0,0,2,2
JoneFr00,SDG,TE,26,16,16,0,0,0,0.0,0,0,0,0,0.0,0,126.0,71,766,10.79,5,3,2.0,5,0.0,0.0,103.0,173.6,178.6,138.1,42.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,47.88,0.31,0.19,0.31,0.0,6.44,10.85,0.0,-0.25,6.66,11.1,0,0,0,1,1,1
WillRi00,NOR,RB,23,10,10,1,1,34,34.0,0,0,248,1000,4.03,8,55.0,44,409,9.3,1,6,3.0,9,0.0,0.0,190.0,234.3,243.3,212.3,39.0,18,0.0,0.1,0.1,3.4,0.0,24.8,100.0,4.4,40.9,0.1,0.6,0.9,0.0,19.0,23.43,0.14,14.2,4.69,9.09,0,1,0,0,2,2
BettJe00,PIT,RB,28,16,16,0,2,0,0.0,0,1,355,1341,3.78,8,19.0,13,97,7.46,0,1,0.0,8,0.0,0.0,190.0,202.8,206.8,197.3,39.0,19,0.0,0.0,0.12,0.0,0.06,22.19,83.81,0.81,6.06,0.0,0.06,0.5,0.0,11.88,12.68,-0.12,11.38,0.61,1.42,0,1,0,0,2,2
BrunMa00,JAX,QB,30,16,16,311,512,3640,7.11,20,14,48,236,4.92,2,0.0,0,0,0.0,0,7,4.0,2,0.0,1.0,227.0,227.2,251.2,241.2,35.0,7,1.25,19.44,32.0,227.5,0.88,3.0,14.75,0.0,0.0,0.0,0.44,0.12,0.0,14.19,14.2,12.35,1.72,0.0,0.0,1,0,0,0,2,3
McCaKe00,JAX,WR,30,16,16,0,0,0,0.0,0,0,0,0,0.0,0,140.0,94,1207,12.84,5,3,3.0,5,0.0,0.0,145.0,238.7,244.7,191.7,34.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,75.44,0.31,0.19,0.31,0.0,9.06,14.92,0.0,-0.38,9.42,15.29,0,0,1,0,2,2
FreeAn00,GNB,WR,28,15,15,0,0,0,0.0,0,0,2,5,2.5,0,120.0,62,912,14.71,9,1,1.0,9,0.0,0.0,144.0,205.7,209.7,174.7,33.0,18,0.0,0.0,0.0,0.0,0.0,0.13,0.33,4.13,60.8,0.6,0.07,0.6,0.0,9.6,13.71,0.0,-0.1,9.68,13.81,0,0,1,0,2,2
BradKy00,JAX,TE,28,16,15,0,0,0,0.0,0,0,0,0,0.0,0,94.0,64,729,11.39,3,0,0.0,3,1.0,0.0,93.0,156.9,159.9,124.9,32.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.56,0.19,0.0,0.19,0.06,5.81,9.81,0.0,0.0,5.68,9.68,0,0,0,1,1,1
ChreWa00,NYJ,WR,27,16,16,0,0,0,0.0,0,0,3,-3,-1.0,0,143.0,69,937,13.58,8,0,0.0,8,0.0,0.0,141.0,210.4,213.4,175.9,31.0,19,0.0,0.0,0.0,0.0,0.0,0.19,-0.19,4.31,58.56,0.5,0.0,0.5,0.0,8.81,13.15,0.0,-0.02,8.86,13.17,0,0,1,0,2,2
LewiCh00,PHI,TE,29,16,16,0,0,0,0.0,0,0,0,0,0.0,0,110.0,69,735,10.65,3,0,0.0,3,0.0,0.0,92.0,160.5,163.5,126.0,31.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,45.94,0.19,0.0,0.19,0.0,5.75,10.03,0.0,0.0,5.72,10.03,0,0,0,1,1,1
KingSh00,TAM,QB,23,16,16,233,428,2769,6.47,18,13,73,353,4.84,5,0.0,0,0,0.0,0,4,1.0,5,1.0,0.0,222.0,222.1,242.1,235.1,30.0,8,1.12,14.56,26.75,173.06,0.81,4.56,22.06,0.0,0.0,0.0,0.25,0.31,0.06,13.88,13.88,9.8,3.96,0.0,0.0,1,0,0,0,2,3
WychFr00,TEN,TE,29,16,16,2,2,53,26.5,1,0,0,0,0.0,0,109.0,70,636,9.09,4,2,3.0,4,0.0,0.0,88.0,157.7,163.7,122.7,27.0,6,0.06,0.12,0.12,3.31,0.0,0.0,0.0,4.38,39.75,0.25,0.12,0.25,0.0,5.5,9.86,0.38,-0.38,5.48,9.85,0,0,0,1,1,1
GlenTe00,NWE,WR,26,16,16,0,0,0,0.0,0,0,4,39,9.75,0,163.0,79,963,12.19,6,0,0.0,6,0.0,0.0,136.0,215.2,218.2,175.7,25.0,20,0.0,0.0,0.0,0.0,0.0,0.25,2.44,4.94,60.19,0.38,0.0,0.38,0.0,8.5,13.45,0.0,0.24,8.27,13.21,0,0,1,0,2,2
WheaTy00,OAK,RB,28,14,13,0,0,0,0.0,0,0,232,1046,4.51,9,34.0,20,156,7.8,1,4,3.0,10,0.0,0.0,174.0,194.2,203.2,184.2,23.0,20,0.0,0.0,0.0,0.0,0.0,16.57,74.71,1.43,11.14,0.07,0.29,0.71,0.0,12.43,13.87,0.0,10.9,1.54,2.97,0,1,0,0,2,2
CollKe00,NYG,QB,28,16,16,311,529,3610,6.82,22,13,41,65,1.59,1,0.0,0,0,0.0,0,7,2.0,1,0.0,0.0,215.0,214.9,232.9,227.9,23.0,9,1.38,19.44,33.06,225.62,0.81,2.56,4.06,0.0,0.0,0.0,0.44,0.06,0.0,13.44,13.43,12.9,0.53,0.0,0.0,1,0,0,0,2,3
SmitEm00,DAL,RB,31,16,16,0,0,0,0.0,0,0,294,1203,4.09,9,14.0,11,79,7.18,0,6,5.0,9,0.0,0.0,172.0,183.2,191.2,177.7,21.0,21,0.0,0.0,0.0,0.0,0.0,18.38,75.19,0.69,4.94,0.0,0.38,0.56,0.0,10.75,11.45,0.0,10.27,0.49,1.18,0,1,0,0,2,2
JohnKe00,TAM,WR,28,16,16,0,0,0,0.0,0,0,2,5,2.5,0,122.0,71,874,12.31,8,2,2.0,8,0.0,0.0,132.0,202.9,207.9,167.4,21.0,21,0.0,0.0,0.0,0.0,0.0,0.12,0.31,4.44,54.62,0.5,0.12,0.5,0.0,8.25,12.68,0.0,-0.22,8.46,12.9,0,0,1,0,2,2
AndeJa00,ATL,RB,28,16,16,0,0,0,0.0,0,0,282,1024,3.63,6,58.0,42,382,9.1,0,6,4.0,6,1.0,0.0,171.0,212.6,222.6,191.6,20.0,22,0.0,0.0,0.0,0.0,0.0,17.62,64.0,2.62,23.88,0.0,0.38,0.38,0.06,10.69,13.29,0.0,8.15,2.39,5.01,0,1,0,0,2,2
HillIk00,NYG,WR,24,14,14,0,0,0,0.0,0,0,3,19,6.33,0,105.0,55,787,14.31,8,0,0.0,8,0.0,0.0,129.0,183.6,186.6,156.1,18.0,22,0.0,0.0,0.0,0.0,0.0,0.21,1.36,3.93,56.21,0.57,0.0,0.57,0.0,9.21,13.11,0.0,0.14,9.05,12.98,0,0,1,0,2,2
MasoDe00,TEN,WR,26,16,10,0,0,0,0.0,0,0,1,1,1.0,0,89.0,63,895,14.21,5,1,0.0,6,0.0,0.0,126.0,188.6,191.6,157.1,15.0,23,0.0,0.0,0.0,0.0,0.0,0.06,0.06,3.94,55.94,0.31,0.06,0.38,0.0,7.88,11.79,0.0,0.01,7.47,11.41,0,0,1,0,2,2
BrowTr00,NWE,WR,29,16,15,0,0,0,0.0,0,0,6,46,7.67,0,119.0,83,944,11.37,4,2,2.0,5,0.0,0.0,125.0,208.0,213.0,166.5,14.0,24,0.0,0.0,0.0,0.0,0.0,0.38,2.88,5.19,59.0,0.25,0.12,0.31,0.0,7.81,13.0,0.0,0.04,7.4,12.59,0,0,1,0,2,2
FavrBr00,GNB,QB,31,16,16,338,580,3812,6.57,20,16,27,108,4.0,0,0.0,0,0,0.0,0,9,5.0,0,0.0,2.0,205.0,205.3,232.3,221.3,13.0,10,1.25,21.12,36.25,238.25,1.0,1.69,6.75,0.0,0.0,0.0,0.56,0.0,0.0,12.81,12.83,12.53,0.05,0.0,0.0,1,0,0,0,2,3
SchrBi00,GNB,WR,29,16,16,0,0,0,0.0,0,0,2,11,5.5,0,119.0,65,999,15.37,4,1,1.0,4,0.0,0.0,123.0,188.0,192.0,155.5,12.0,25,0.0,0.0,0.0,0.0,0.0,0.12,0.69,4.06,62.44,0.25,0.06,0.25,0.0,7.69,11.75,0.0,-0.06,7.74,11.81,0,0,1,0,2,2
