Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
AlexSh00,SEA,RB,28,16,16,0,0,0,0.0,0,0,370,1880,5.08,27,29.0,15,78,5.2,1,5,1.0,28,0.0,0.0,362.0,376.8,380.8,369.3,226.0,1,0.0,0.0,0.0,0.0,0.0,23.12,117.5,0.94,4.88,0.06,0.31,1.75,0.0,22.62,23.55,0.0,21.75,0.86,1.8,0,1,0,0,2,4
JohnLa00,KAN,RB,26,16,9,0,0,0,0.0,0,0,336,1750,5.21,20,49.0,33,343,10.39,1,5,4.0,21,0.0,0.0,327.0,360.3,370.3,343.8,191.0,2,0.0,0.0,0.0,0.0,0.0,21.0,109.38,2.06,21.44,0.06,0.31,1.31,0.0,20.44,22.52,0.0,17.94,2.52,4.58,0,1,0,0,2,4
TomlLa00,SDG,RB,26,16,16,3,4,47,11.75,3,0,339,1462,4.31,18,77.0,51,370,7.25,2,3,1.0,20,0.0,0.0,315.0,366.1,373.1,340.6,179.0,3,0.19,0.19,0.25,2.94,0.0,21.19,91.38,3.19,23.12,0.12,0.19,1.25,0.0,19.69,22.88,0.87,15.76,3.06,6.25,0,1,0,0,2,4
BarbTi00,NYG,RB,30,16,16,0,1,0,0.0,0,0,357,1860,5.21,9,70.0,54,530,9.81,2,1,1.0,11,1.0,0.0,305.0,359.0,366.0,332.0,169.0,4,0.0,0.0,0.06,0.0,0.0,22.31,116.25,3.38,33.12,0.12,0.06,0.69,0.06,19.06,22.44,0.0,14.88,4.06,7.44,0,1,0,0,2,4
JameEd00,IND,RB,27,15,15,0,0,0,0.0,0,0,360,1506,4.18,13,50.0,44,337,7.66,1,2,1.0,14,0.0,0.0,266.0,310.3,317.3,288.3,130.0,5,0.0,0.0,0.0,0.0,0.0,24.0,100.4,2.93,22.47,0.07,0.13,0.93,0.0,17.73,20.69,0.0,15.11,2.65,5.58,0,1,0,0,2,3
SmitSt01,CAR,WR,26,16,16,0,0,0,0.0,0,0,4,25,6.25,1,150.0,103,1563,15.17,12,2,1.0,13,0.0,0.0,235.0,337.8,341.8,286.3,119.0,1,0.0,0.0,0.0,0.0,0.0,0.25,1.56,6.44,97.69,0.75,0.12,0.81,0.0,14.69,21.11,0.0,0.41,14.27,20.71,0,0,1,0,2,3
PortCl00,WAS,RB,24,16,16,1,2,17,8.5,1,0,352,1516,4.31,11,41.0,30,216,7.2,0,3,2.0,11,1.0,0.0,242.0,271.9,279.9,256.9,106.0,6,0.06,0.06,0.12,1.06,0.0,22.0,94.75,1.88,13.5,0.0,0.19,0.69,0.06,15.12,16.99,0.29,13.35,1.35,3.22,0,1,0,0,2,3
GateAn00,SDG,TE,25,15,15,0,0,0,0.0,0,0,0,0,0.0,0,140.0,89,1101,12.37,10,0,0.0,10,0.0,0.0,170.0,259.1,262.1,214.6,93.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,73.4,0.67,0.0,0.67,0.0,11.33,17.27,0.0,0.0,11.34,17.27,0,0,0,1,2,2
JohnRu00,CIN,RB,26,16,14,0,0,0,0.0,0,0,337,1458,4.33,12,30.0,23,90,3.91,0,1,0.0,12,0.0,0.0,227.0,249.8,252.8,238.3,91.0,7,0.0,0.0,0.0,0.0,0.0,21.06,91.12,1.44,5.62,0.0,0.06,0.75,0.0,14.19,15.61,0.0,13.61,0.56,2.0,0,1,0,0,2,3
JordLa00,OAK,RB,27,14,14,0,0,0,0.0,0,0,272,1025,3.77,9,103.0,70,563,8.04,2,2,1.0,11,1.0,0.0,225.0,294.8,301.8,259.8,89.0,8,0.0,0.0,0.0,0.0,0.0,19.43,73.21,5.0,40.21,0.14,0.14,0.79,0.07,16.07,21.06,0.0,11.04,4.88,9.88,0,1,0,0,2,3
FitzLa00,ARI,WR,22,16,16,0,0,0,0.0,0,0,8,41,5.13,0,165.0,103,1409,13.68,10,0,0.0,10,0.0,0.0,205.0,308.0,311.0,256.5,89.0,2,0.0,0.0,0.0,0.0,0.0,0.5,2.56,6.44,88.06,0.62,0.0,0.62,0.0,12.81,19.25,0.0,0.26,12.56,18.99,0,0,1,0,2,3
JohnCh01,CIN,WR,27,16,16,0,0,0,0.0,0,0,5,33,6.6,0,155.0,97,1432,14.76,9,1,0.0,9,0.0,0.0,201.0,297.5,300.5,249.0,84.0,3,0.0,0.0,0.0,0.0,0.0,0.31,2.06,6.06,89.5,0.56,0.06,0.56,0.0,12.56,18.59,0.0,0.21,12.32,18.39,0,0,1,0,2,3
MossSa00,WAS,WR,26,16,16,0,0,0,0.0,0,0,3,-3,-1.0,0,134.0,84,1483,17.65,9,3,1.0,9,0.0,0.0,200.0,284.0,288.0,242.0,84.0,4,0.0,0.0,0.0,0.0,0.0,0.19,-0.19,5.25,92.69,0.56,0.19,0.56,0.0,12.5,17.75,0.0,-0.14,12.64,17.89,0,0,1,0,2,3
GallJo00,TAM,WR,34,16,16,0,0,0,0.0,0,0,2,4,2.0,0,152.0,83,1287,15.51,10,0,0.0,10,0.0,0.0,189.0,272.1,275.1,230.6,73.0,5,0.0,0.0,0.0,0.0,0.0,0.12,0.25,5.19,80.44,0.62,0.0,0.62,0.0,11.81,17.01,0.0,0.02,11.79,16.98,0,0,1,0,2,2
HoltTo00,STL,WR,29,14,14,0,0,0,0.0,0,0,1,2,2.0,0,163.0,102,1331,13.05,9,2,0.0,9,0.0,0.0,187.0,289.3,292.3,238.3,71.0,6,0.0,0.0,0.0,0.0,0.0,0.07,0.14,7.29,95.07,0.64,0.14,0.64,0.0,13.36,20.66,0.0,0.01,13.36,20.65,0,0,1,0,2,2
BoldAn00,ARI,WR,25,14,14,0,1,0,0.0,0,0,12,45,3.75,0,171.0,102,1402,13.75,7,2,1.0,7,1.0,0.0,187.0,288.7,292.7,237.7,71.0,7,0.0,0.0,0.07,0.0,0.0,0.86,3.21,7.29,100.14,0.5,0.14,0.5,0.07,13.36,20.62,0.0,0.18,13.01,20.3,0,0,1,0,2,2
HarrMa00,IND,WR,33,15,15,0,0,0,0.0,0,0,0,0,0.0,0,134.0,82,1146,13.98,12,0,0.0,12,0.0,0.0,187.0,268.6,271.6,227.6,70.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,76.4,0.8,0.0,0.8,0.0,12.47,17.91,0.0,0.0,12.44,17.91,0,0,1,0,2,2
PalmCa00,CIN,QB,26,16,16,345,509,3836,7.54,32,12,34,41,1.21,1,0.0,0,0,0.0,0,5,2.0,1,0.0,1.0,266.0,265.5,282.5,277.5,70.0,1,2.0,21.56,31.81,239.75,0.75,2.12,2.56,0.0,0.0,0.0,0.31,0.06,0.0,16.62,16.59,16.09,0.38,0.0,0.0,1,0,0,0,2,3
