Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
FavrBr00,GNB,QB,27,16,16,325,543,3899,7.18,39,13,49,136,2.78,2,0.0,0,0,0.0,0,11,4.0,2,0.0,3.0,310.0,309.6,332.6,322.6,154.0,1,2.44,20.31,33.94,243.69,0.81,3.06,8.5,0.0,0.0,0.0,0.69,0.12,0.0,19.38,19.35,17.87,1.1,0.0,0.0,1,0,0,0,2,4
AlleTe00,WAS,RB,28,16,16,0,0,0,0.0,0,0,347,1353,3.9,21,42.0,32,194,6.06,0,4,2.0,21,0.0,0.0,277.0,308.7,316.7,292.7,150.0,1,0.0,0.0,0.0,0.0,0.0,21.69,84.56,2.0,12.12,0.0,0.25,1.31,0.0,17.31,19.29,0.0,16.08,1.21,3.21,0,1,0,0,2,3
DaviTe00,DEN,RB,24,16,16,0,0,0,0.0,0,0,345,1538,4.46,13,52.0,36,310,8.61,2,5,3.0,15,0.0,0.0,269.0,304.8,313.8,286.8,142.0,2,0.0,0.0,0.0,0.0,0.0,21.56,96.12,2.25,19.38,0.12,0.31,0.94,0.0,16.81,19.05,0.0,14.11,2.69,4.94,0,1,0,0,2,3
TestVi00,BAL,QB,33,16,16,325,549,4177,7.61,33,19,34,188,5.53,2,0.0,0,0,0.0,0,9,7.0,2,1.0,3.0,286.0,285.9,317.9,304.9,130.0,2,2.06,20.31,34.31,261.06,1.19,2.12,11.75,0.0,0.0,0.0,0.56,0.12,0.06,17.88,17.87,16.32,1.05,0.0,0.0,1,0,0,0,2,3
WattRi00,PHI,RB,27,16,16,0,0,0,0.0,0,0,353,1411,4.0,13,70.0,51,444,8.71,0,5,5.0,13,0.0,0.0,254.0,304.5,315.5,279.0,127.0,3,0.0,0.0,0.0,0.0,0.0,22.06,88.19,3.19,27.75,0.0,0.31,0.81,0.0,15.88,19.03,0.0,13.07,2.78,5.96,0,1,0,0,2,3
MartCu00,NWE,RB,23,16,15,0,0,0,0.0,0,0,316,1152,3.65,14,52.0,46,333,7.24,3,4,3.0,17,1.0,0.0,247.0,292.5,301.5,269.5,120.0,4,0.0,0.0,0.0,0.0,0.0,19.75,72.0,2.88,20.81,0.19,0.25,1.06,0.06,15.44,18.28,0.0,12.08,3.21,6.08,0,1,0,0,2,3
BrunMa00,JAX,QB,26,16,16,353,557,4367,7.84,19,20,80,396,4.95,3,0.0,0,0,0.0,0,14,3.0,3,2.0,3.0,272.0,272.3,301.3,292.3,117.0,3,1.19,22.06,34.81,272.94,1.25,5.0,24.75,0.0,0.0,0.0,0.88,0.19,0.12,17.0,17.02,13.17,3.22,0.0,0.0,1,0,0,0,2,3
SmitEm00,DAL,RB,27,15,15,0,0,0,0.0,0,0,327,1204,3.68,12,57.0,47,249,5.3,3,5,2.0,15,0.0,0.0,231.0,278.3,286.3,254.8,105.0,5,0.0,0.0,0.0,0.0,0.0,21.8,80.27,3.13,16.6,0.2,0.33,1.0,0.0,15.4,18.55,0.0,12.56,2.86,5.99,0,1,0,0,2,3
SharSh00,DEN,TE,28,15,15,0,0,0,0.0,0,0,0,0,0.0,0,117.0,80,1062,13.28,10,1,1.0,10,0.0,0.0,164.0,244.2,248.2,204.2,104.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,70.8,0.67,0.07,0.67,0.0,10.93,16.28,0.0,-0.13,11.08,16.41,0,0,0,1,2,2
SandBa00,DET,RB,28,16,16,0,1,0,0.0,0,1,307,1553,5.06,11,32.0,24,147,6.13,0,4,2.0,11,0.0,0.0,230.0,254.0,263.0,243.0,103.0,6,0.0,0.0,0.06,0.0,0.06,19.19,97.06,1.5,9.19,0.0,0.25,0.69,0.0,14.38,15.88,-0.12,13.58,0.92,2.42,0,1,0,0,2,3
