Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
FaulMa00,STL,RB,28,14,14,0,1,0,0.0,0,0,260,1382,5.32,12,104.0,83,765,9.22,9,3,3.0,21,1.0,0.0,337.0,419.7,428.7,378.2,204.0,1,0.0,0.0,0.07,0.0,0.0,18.57,98.71,5.93,54.64,0.64,0.21,1.5,0.07,24.07,29.98,0.0,14.59,9.32,15.25,0,1,0,0,2,4
HolmPr00,KAN,RB,28,16,16,0,0,0,0.0,0,0,327,1555,4.76,8,75.0,62,614,9.9,2,4,3.0,10,0.0,0.0,271.0,332.9,341.9,301.9,139.0,2,0.0,0.0,0.0,0.0,0.0,20.44,97.19,3.88,38.38,0.12,0.25,0.62,0.0,16.94,20.81,0.0,12.34,4.59,8.46,0,1,0,0,2,3
GreeAh00,GNB,RB,24,16,16,0,0,0,0.0,0,0,304,1387,4.56,9,82.0,62,594,9.58,2,5,4.0,11,0.0,0.0,256.0,318.1,328.1,287.1,124.0,3,0.0,0.0,0.0,0.0,0.0,19.0,86.69,3.88,37.12,0.12,0.31,0.69,0.0,16.0,19.88,0.0,11.54,4.46,8.34,0,1,0,0,2,3
AlexSh00,SEA,RB,24,16,12,0,0,0,0.0,0,0,309,1318,4.27,14,59.0,44,343,7.8,2,4,4.0,16,0.0,0.0,254.0,298.1,308.1,276.1,122.0,4,0.0,0.0,0.0,0.0,0.0,19.31,82.38,2.75,21.44,0.12,0.25,1.0,0.0,15.88,18.63,0.0,12.99,2.89,5.64,0,1,0,0,2,3
HarrMa00,IND,WR,29,16,16,0,0,0,0.0,0,0,1,3,3.0,0,164.0,109,1524,13.98,15,0,0.0,15,0.0,0.0,243.0,351.7,354.7,297.2,114.0,1,0.0,0.0,0.0,0.0,0.0,0.06,0.19,6.81,95.25,0.94,0.0,0.94,0.0,15.19,21.98,0.0,0.02,15.15,21.96,0,0,1,0,2,3
MartCu00,NYJ,RB,28,16,16,1,1,18,18.0,1,0,333,1513,4.54,10,63.0,53,320,6.04,0,2,2.0,10,0.0,0.0,244.0,297.0,305.0,270.5,112.0,5,0.06,0.06,0.06,1.12,0.0,20.81,94.56,3.31,20.0,0.0,0.12,0.62,0.0,15.25,18.56,0.3,12.96,2.0,5.31,0,1,0,0,2,3
OwenTe00,SFO,WR,28,16,16,0,0,0,0.0,0,0,4,21,5.25,0,155.0,93,1412,15.18,16,0,0.0,16,0.0,0.0,239.0,332.3,335.3,285.8,110.0,2,0.0,0.0,0.0,0.0,0.0,0.25,1.31,5.81,88.25,1.0,0.0,1.0,0.0,14.94,20.77,0.0,0.13,14.82,20.64,0,0,1,0,2,3
GarcJe00,SFO,QB,31,16,16,316,504,3538,7.02,32,12,72,254,3.53,5,0.0,0,0,0.0,0,9,3.0,5,0.0,2.0,299.0,298.9,319.9,310.9,97.0,1,2.0,19.75,31.5,221.12,0.75,4.5,15.88,0.0,0.0,0.0,0.56,0.31,0.0,18.69,18.68,15.34,3.09,0.0,0.0,1,0,0,0,2,3
DillCo00,CIN,RB,27,16,16,0,1,0,0.0,0,1,340,1315,3.87,10,61.0,34,228,6.71,3,5,3.0,13,0.0,0.0,224.0,258.3,268.3,242.3,92.0,6,0.0,0.0,0.06,0.0,0.06,21.25,82.19,2.12,14.25,0.19,0.31,0.81,0.0,14.0,16.14,-0.12,11.59,2.55,4.68,0,1,0,0,2,3
WarnKu00,STL,QB,30,16,16,375,546,4830,8.85,36,22,28,60,2.14,0,0.0,0,0,0.0,0,10,4.0,0,0.0,1.0,293.0,293.2,322.2,315.2,91.0,2,2.25,23.44,34.12,301.88,1.38,1.75,3.75,0.0,0.0,0.0,0.62,0.0,0.0,18.31,18.32,18.32,-0.12,0.0,0.0,1,0,0,0,2,3
