Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
GurlTo01,LAR,RB,24,14,14,0,0,0,0.0,0,0,256,1251,4.89,17,81,59,580,9.83,4,1,1,21,3.0,0.0,313.0,372.1,379.1,342.6,178.0,1,0.0,0.0,0.0,0.0,0.0,18.29,89.36,4.21,41.43,0.29,0.07,1.5,0.21,22.36,26.58,0.0,16.08,5.86,10.07,0,1,0,0,2,4
BarkSa00,NYG,RB,21,16,16,0,0,0,0.0,0,0,261,1307,5.01,11,121,91,721,7.92,4,0,0,15,1.0,0.0,295.0,385.8,391.8,340.3,159.0,2,0.0,0.0,0.0,0.0,0.0,16.31,81.69,5.69,45.06,0.25,0.0,0.94,0.06,18.44,24.11,0.0,12.29,6.01,11.69,0,1,0,0,2,3
McCaCh01,CAR,RB,22,16,16,1,1,50,50.0,1,0,219,1098,5.01,7,124,107,867,8.1,6,4,1,13,0.0,0.0,279.0,385.5,392.5,332.0,143.0,3,0.06,0.06,0.06,3.12,0.0,13.69,68.62,6.69,54.19,0.38,0.25,0.81,0.0,17.44,24.09,0.38,9.36,7.67,14.36,0,1,0,0,2,3
KamaAl00,NOR,RB,23,15,13,0,0,0,0.0,0,0,194,883,4.55,14,105,81,709,8.75,4,1,0,18,3.0,0.0,273.0,354.2,360.2,313.7,138.0,4,0.0,0.0,0.0,0.0,0.0,12.93,58.87,5.4,47.27,0.27,0.07,1.2,0.2,18.2,23.61,0.0,11.49,6.33,11.73,0,1,0,0,2,3
MahoPa00,KAN,QB,23,16,16,383,580,5097,8.79,50,12,60,272,4.53,2,0,0,0,0.0,0,9,2,2,1.0,0.0,417.0,417.1,437.1,429.1,134.0,1,3.12,23.94,36.25,318.56,0.75,3.75,17.0,0.0,0.0,0.0,0.56,0.12,0.06,26.06,26.07,23.74,2.2,0.0,0.0,1,0,0,0,2,5
HillTy00,KAN,WR,24,16,16,0,0,0,0.0,0,0,22,151,6.86,1,137,87,1479,17.0,12,0,0,14,0.0,0.0,247.0,334.0,340.0,290.5,131.0,1,0.0,0.0,0.0,0.0,0.0,1.38,9.44,5.44,92.44,0.75,0.0,0.88,0.0,15.44,20.88,0.0,1.32,13.74,19.18,0,0,1,0,2,3
ElliEz00,DAL,RB,23,15,15,0,0,0,0.0,0,0,304,1434,4.72,6,95,77,567,7.36,3,6,1,9,0.0,0.0,252.0,329.1,336.1,290.6,117.0,5,0.0,0.0,0.0,0.0,0.0,20.27,95.6,5.13,37.8,0.2,0.4,0.6,0.0,16.8,21.94,0.0,11.83,4.98,10.11,0,1,0,0,2,3
KelcTr00,KAN,TE,29,16,16,0,0,0,0.0,0,0,0,0,0.0,0,150,103,1336,12.97,10,2,1,10,0.0,0.0,192.0,294.6,298.6,243.1,109.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,83.5,0.62,0.12,0.62,0.0,12.0,18.41,0.0,-0.12,12.1,18.54,0,0,0,1,2,2
BrowAn04,PIT,WR,30,15,15,0,1,0,0.0,0,0,0,0,0.0,0,168,104,1297,12.47,15,0,0,15,0.0,0.0,220.0,323.7,326.7,271.7,103.0,2,0.0,0.0,0.07,0.0,0.0,0.0,0.0,6.93,86.47,1.0,0.0,1.0,0.0,14.67,21.58,0.0,0.0,14.65,21.58,0,0,1,0,2,3
AdamDa01,GNB,WR,26,15,15,0,0,0,0.0,0,0,0,0,0.0,0,169,111,1386,12.49,13,0,0,13,1.0,0.0,219.0,329.6,332.6,274.1,102.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,92.4,0.87,0.0,0.87,0.07,14.6,21.97,0.0,0.0,14.44,21.84,0,0,1,0,2,3
HopkDe00,HOU,WR,26,16,16,0,1,0,0.0,0,0,1,-7,-7.0,0,163,115,1572,13.67,11,2,2,11,0.0,0.0,219.0,333.5,338.5,276.0,102.0,4,0.0,0.0,0.06,0.0,0.0,0.06,-0.44,7.19,98.25,0.69,0.12,0.69,0.0,13.69,20.84,0.0,-0.29,13.95,21.14,0,0,1,0,2,3
JoneJu02,ATL,WR,29,16,16,0,0,0,0.0,0,0,2,12,6.0,0,170,113,1677,14.84,8,2,2,8,0.0,0.0,213.0,325.9,330.9,269.4,97.0,5,0.0,0.0,0.0,0.0,0.0,0.12,0.75,7.06,104.81,0.5,0.12,0.5,0.0,13.31,20.37,0.0,-0.18,13.48,20.54,0,0,1,0,2,3
GordMe00,LAC,RB,25,12,12,0,0,0,0.0,0,0,175,885,5.06,10,66,50,490,9.8,4,1,0,14,2.0,0.0,226.0,275.5,281.5,250.5,90.0,6,0.0,0.0,0.0,0.0,0.0,14.58,73.75,4.17,40.83,0.33,0.08,1.17,0.17,18.83,22.96,0.0,12.38,6.08,10.25,0,1,0,0,2,3
ConnJa00,PIT,RB,23,13,12,0,0,0,0.0,0,0,215,973,4.53,12,71,55,497,9.04,1,4,2,13,2.0,0.0,225.0,280.0,288.0,252.5,90.0,7,0.0,0.0,0.0,0.0,0.0,16.54,74.85,4.23,38.23,0.08,0.31,1.0,0.15,17.31,21.54,0.0,12.72,4.28,8.52,0,1,0,0,2,3
EvanMi00,TAM,WR,25,16,16,0,0,0,0.0,0,0,0,0,0.0,0,138,86,1524,17.72,8,2,1,9,0.0,0.0,204.0,290.4,294.4,247.4,88.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,95.25,0.5,0.12,0.56,0.0,12.75,18.15,0.0,-0.12,12.52,17.9,0,0,1,0,2,3
KittGe00,SFO,TE,25,16,16,0,0,0,0.0,0,0,1,10,10.0,0,136,88,1377,15.65,5,0,0,5,1.0,0.0,171.0,258.7,261.7,214.7,88.0,2,0.0,0.0,0.0,0.0,0.0,0.06,0.62,5.5,86.06,0.31,0.0,0.31,0.06,10.69,16.17,0.0,0.06,10.48,15.98,0,0,0,1,2,2
ErtzZa00,PHI,TE,28,16,16,0,0,0,0.0,0,0,0,0,0.0,0,156,116,1163,10.03,8,1,0,8,0.0,0.0,164.0,280.3,283.3,222.3,81.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,72.69,0.5,0.06,0.5,0.0,10.25,17.52,0.0,0.0,10.27,17.52,0,0,0,1,2,2
ThieAd00,MIN,WR,28,16,16,0,0,0,0.0,0,0,5,30,6.0,0,153,113,1373,12.15,9,1,1,9,1.0,0.0,194.0,307.3,311.3,250.8,78.0,7,0.0,0.0,0.0,0.0,0.0,0.31,1.88,7.06,85.81,0.56,0.06,0.56,0.06,12.12,19.21,0.0,0.06,11.96,19.02,0,0,1,0,2,2
ThomMi05,NOR,WR,25,16,16,0,0,0,0.0,0,0,0,0,0.0,0,147,125,1405,11.24,9,2,2,9,0.0,0.0,191.0,315.5,320.5,253.0,74.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,87.81,0.56,0.12,0.56,0.0,11.94,19.72,0.0,-0.25,12.16,19.97,0,0,1,0,2,2
EbroEr00,IND,TE,25,16,8,0,1,0,0.0,0,0,3,-8,-2.67,1,110,66,750,11.36,13,1,1,14,0.0,0.0,156.0,222.2,226.2,189.2,73.0,4,0.0,0.0,0.06,0.0,0.0,0.19,-0.5,4.12,46.88,0.81,0.06,0.88,0.0,9.75,13.89,0.0,0.2,9.56,13.69,0,0,0,1,2,2
RyanMa00,ATL,QB,33,16,16,422,608,4924,8.1,35,7,33,125,3.79,3,1,1,5,5.0,1,10,5,4,0.0,2.0,354.0,355.0,373.0,361.5,71.0,2,2.19,26.38,38.0,307.75,0.44,2.06,7.81,0.06,0.31,0.06,0.62,0.25,0.0,22.12,22.19,20.19,1.28,0.41,0.47,1,0,0,0,2,4
SmitJu00,PIT,WR,22,16,13,0,0,0,0.0,0,0,1,13,13.0,0,166,111,1426,12.85,7,1,1,7,1.0,0.0,186.0,296.9,300.9,241.4,70.0,9,0.0,0.0,0.0,0.0,0.0,0.06,0.81,6.94,89.12,0.44,0.06,0.44,0.06,11.62,18.56,0.0,-0.04,11.54,18.48,0,0,1,0,2,2
