Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
SmitEm00,DAL,RB,26,16,16,0,0,0,0.0,0,0,377,1773,4.7,25,78.0,62,375,6.05,0,7,6.0,25,0.0,0.0,353.0,414.8,426.8,383.8,221.0,1,0.0,0.0,0.0,0.0,0.0,23.56,110.81,3.88,23.44,0.0,0.44,1.56,0.0,22.06,25.92,0.0,19.71,2.34,6.22,0,1,0,0,2,4
RiceJe00,SFO,WR,33,16,16,1,1,41,41.0,1,0,5,36,7.2,1,176.0,122,1848,15.15,15,3,3.0,17,1.0,0.0,292.0,414.0,420.0,353.0,174.0,1,0.06,0.06,0.06,2.56,0.0,0.31,2.25,7.62,115.5,0.94,0.19,1.06,0.06,18.25,25.88,0.35,0.22,17.18,24.8,0,0,1,0,2,3
BrucIs00,STL,WR,23,16,16,0,0,0,0.0,0,0,3,17,5.67,0,199.0,119,1781,14.97,13,2,1.0,13,1.0,0.0,258.0,376.8,380.8,317.3,140.0,2,0.0,0.0,0.0,0.0,0.0,0.19,1.06,7.44,111.31,0.81,0.12,0.81,0.06,16.12,23.55,0.0,-0.02,16.01,23.44,0,0,1,0,2,3
MoorHe00,DET,WR,26,16,16,0,0,0,0.0,0,0,0,0,0.0,0,206.0,123,1686,13.71,14,2,2.0,14,0.0,0.0,249.0,371.6,376.6,310.1,131.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,105.38,0.88,0.12,0.88,0.0,15.56,23.22,0.0,-0.25,15.79,23.48,0,0,1,0,2,3
MartCu00,NWE,RB,22,16,15,0,0,0,0.0,0,0,368,1487,4.04,14,50.0,30,261,8.7,1,5,3.0,15,1.0,0.0,261.0,290.8,299.8,275.8,129.0,2,0.0,0.0,0.0,0.0,0.0,23.0,92.94,1.88,16.31,0.06,0.31,0.94,0.06,16.31,18.18,0.0,14.17,2.01,3.88,0,1,0,0,2,3
FavrBr00,GNB,QB,26,16,16,359,570,4413,7.74,38,13,39,181,4.64,3,0.0,0,0,0.0,0,8,4.0,3,0.0,0.0,331.0,330.6,353.6,343.6,128.0,1,2.38,22.44,35.62,275.81,0.81,2.44,11.31,0.0,0.0,0.0,0.5,0.19,0.0,20.69,20.66,18.91,1.76,0.0,0.0,1,0,0,0,2,4
SandBa00,DET,RB,27,16,16,1,2,11,5.5,0,0,314,1500,4.78,11,70.0,48,398,8.29,1,3,3.0,12,0.0,0.0,256.0,304.2,313.2,280.2,124.0,3,0.0,0.06,0.12,0.69,0.0,19.62,93.75,3.0,24.88,0.06,0.19,0.75,0.0,16.0,19.01,0.03,13.12,2.86,5.86,0,1,0,0,2,3
CartCr00,MIN,WR,30,16,16,0,0,0,0.0,0,0,1,0,0.0,0,197.0,122,1371,11.24,17,0,0.0,17,0.0,0.0,239.0,361.1,364.1,300.1,121.0,4,0.0,0.0,0.0,0.0,0.0,0.06,0.0,7.62,85.69,1.06,0.0,1.06,0.0,14.94,22.57,0.0,0.0,14.94,22.57,0,0,1,0,2,3
WarrCh00,SEA,RB,27,16,16,0,0,0,0.0,0,0,310,1346,4.34,15,50.0,35,247,7.06,1,5,3.0,16,0.0,0.0,249.0,284.3,293.3,266.8,117.0,4,0.0,0.0,0.0,0.0,0.0,19.38,84.12,2.19,15.44,0.06,0.31,1.0,0.0,15.56,17.77,0.0,13.66,1.92,4.11,0,1,0,0,2,3
BrooRo00,GNB,WR,25,16,16,0,0,0,0.0,0,0,4,21,5.25,0,167.0,102,1497,14.68,13,0,0.0,13,0.0,0.0,230.0,331.8,334.8,280.8,112.0,5,0.0,0.0,0.0,0.0,0.0,0.25,1.31,6.38,93.56,0.81,0.0,0.81,0.0,14.38,20.74,0.0,0.13,14.23,20.61,0,0,1,0,2,3
