Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
CookDa01,MIN,RB,25,6,6,0,0,0,0.0,0,0,122,652,5.34,10,19,14,127,9.07,1,1,1,11,3.0,0.0,148.0,161.9,168.9,154.9,79.0,1,0.0,0.0,0.0,0.0,0.0,20.33,108.67,2.33,21.17,0.17,0.17,1.83,0.5,24.67,26.98,0.0,20.53,3.12,5.45,0,1,0,0,2,2
KamaAl00,NOR,RB,25,7,5,0,0,0,0.0,0,0,87,431,4.95,4,66,55,556,10.11,3,1,0,7,0.0,0.0,141.0,195.7,201.7,168.2,72.0,2,0.0,0.0,0.0,0.0,0.0,12.43,61.57,7.86,79.43,0.43,0.14,1.0,0.0,20.14,27.96,0.0,9.59,10.51,18.37,0,1,0,0,2,2
HenrDe00,TEN,RB,26,7,7,0,0,0,0.0,0,0,161,775,4.81,8,18,10,81,8.1,0,0,0,8,0.0,0.0,134.0,143.6,146.6,138.6,65.0,3,0.0,0.0,0.0,0.0,0.0,23.0,110.71,1.43,11.57,0.0,0.0,1.14,0.0,19.14,20.51,0.0,17.93,1.16,2.59,0,1,0,0,2,2
MahoPa00,KAN,QB,25,8,8,190,284,2315,8.15,21,1,34,165,4.85,2,0,0,0,0.0,0,1,0,2,0.0,2.0,207.0,207.1,214.1,208.1,60.0,1,2.62,23.75,35.5,289.38,0.12,4.25,20.62,0.0,0.0,0.0,0.12,0.25,0.0,25.88,25.89,21.82,3.56,0.0,0.0,1,0,0,0,2,3
WilsRu00,SEA,QB,32,7,7,183,256,2151,8.4,26,6,35,260,7.43,0,0,0,0,0.0,0,1,0,0,0.0,1.0,206.0,206.0,218.0,212.0,59.0,2,3.71,26.14,36.57,307.29,0.86,5.0,37.14,0.0,0.0,0.0,0.14,0.0,0.0,29.43,29.43,25.43,3.71,0.0,0.0,1,0,0,0,2,3
AdamDa01,GNB,WR,28,6,6,0,0,0,0.0,0,0,0,0,0.0,0,69,53,675,12.74,8,0,0,8,0.0,0.0,116.0,168.5,171.5,142.0,54.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,112.5,1.33,0.0,1.33,0.0,19.33,28.08,0.0,0.0,19.25,28.08,0,0,1,0,1,1
KelcTr00,KAN,TE,31,8,8,0,0,0,0.0,0,0,0,0,0.0,0,68,48,610,12.71,6,1,1,6,0.0,0.0,95.0,143.0,147.0,119.0,51.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,76.25,0.75,0.12,0.75,0.0,11.88,17.88,0.0,-0.25,12.12,18.12,0,0,0,1,1,1
MurrKy00,ARI,QB,23,7,7,169,253,1847,7.3,13,7,65,437,6.72,7,0,0,0,0.0,0,3,1,7,0.0,0.0,196.0,195.6,209.6,202.6,49.0,3,1.86,24.14,36.14,263.86,1.0,9.29,62.43,0.0,0.0,0.0,0.43,1.0,0.0,28.0,27.94,15.98,11.96,0.0,0.0,1,0,0,0,2,2
MetcDK00,SEA,WR,23,7,7,0,0,0,0.0,0,0,0,0,0.0,0,59,36,680,18.89,7,1,1,7,0.0,0.0,108.0,144.0,148.0,126.0,47.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,97.14,1.0,0.14,1.0,0.0,15.43,20.57,0.0,-0.29,15.71,20.86,0,0,1,0,1,1
HillTy00,KAN,WR,26,8,8,0,0,0,0.0,0,0,7,54,7.71,1,54,35,537,15.34,7,1,0,8,0.0,0.0,107.0,142.1,145.1,124.6,46.0,3,0.0,0.0,0.0,0.0,0.0,0.88,6.75,4.38,67.12,0.88,0.12,1.0,0.0,13.38,17.76,0.0,1.42,11.96,16.34,0,0,1,0,1,1
RidlCa00,ATL,WR,26,8,8,0,0,0,0.0,0,0,3,14,4.67,0,68,43,657,15.28,6,0,0,6,1.0,0.0,105.0,148.1,151.1,126.6,44.0,4,0.0,0.0,0.0,0.0,0.0,0.38,1.75,5.38,82.12,0.75,0.0,0.75,0.12,13.12,18.51,0.0,0.18,12.71,18.09,0,0,1,0,1,1
GurlTo01,ATL,RB,26,8,8,0,0,0,0.0,0,0,140,531,3.79,8,20,13,77,5.92,0,2,0,8,0.0,0.0,109.0,121.8,124.8,115.3,40.0,4,0.0,0.0,0.0,0.0,0.0,17.5,66.38,1.62,9.62,0.0,0.25,1.0,0.0,13.62,15.22,0.0,12.64,0.96,2.59,0,1,0,0,1,1
RodgAa00,GNB,QB,37,8,8,189,280,2253,8.05,24,2,11,61,5.55,0,1,1,-6,-6.0,0,1,1,0,0.0,0.0,186.0,186.6,192.6,188.1,39.0,4,3.0,23.62,35.0,281.62,0.25,1.38,7.62,0.12,-0.75,0.0,0.12,0.0,0.0,23.25,23.32,22.76,0.51,-0.08,0.05,1,0,0,0,2,2
LockTy00,SEA,WR,28,7,7,0,0,0,0.0,0,0,0,0,0.0,0,63,49,575,11.73,7,0,0,7,0.0,0.0,100.0,148.5,151.5,124.0,38.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.14,1.0,0.0,1.0,0.0,14.29,21.21,0.0,0.0,14.21,21.21,0,0,1,0,1,1
HuntKa00,CLE,RB,25,8,4,0,0,0,0.0,0,0,115,529,4.6,3,25,18,113,6.28,4,1,0,7,0.0,0.0,106.0,124.2,130.2,115.2,38.0,6,0.0,0.0,0.0,0.0,0.0,14.38,66.12,2.25,14.12,0.5,0.12,0.88,0.0,13.25,15.52,0.0,8.86,4.41,6.66,0,1,0,0,1,1
JoneAa00,GNB,RB,26,6,6,0,0,0,0.0,0,0,90,447,4.97,5,33,23,182,7.91,2,1,0,7,0.0,0.0,105.0,127.9,133.9,116.4,36.0,7,0.0,0.0,0.0,0.0,0.0,15.0,74.5,3.83,30.33,0.33,0.17,1.17,0.0,17.5,21.32,0.0,12.45,5.03,8.87,0,1,0,0,1,1
ElliEz00,DAL,RB,25,8,8,0,0,0,0.0,0,0,132,521,3.95,5,46,34,220,6.47,1,5,4,6,1.0,0.0,104.0,138.1,148.1,121.1,36.0,8,0.0,0.0,0.0,0.0,0.0,16.5,65.12,4.25,27.5,0.12,0.62,0.75,0.12,13.0,17.26,0.0,9.26,3.5,7.75,0,1,0,0,1,1
AlleJo02,BUF,QB,24,8,8,186,277,2172,7.84,16,5,58,227,3.91,4,0,0,0,0.0,0,4,4,4,0.0,0.0,180.0,179.6,194.6,184.6,33.0,5,2.0,23.25,34.62,271.5,0.62,7.25,28.38,0.0,0.0,0.0,0.5,0.5,0.0,22.5,22.45,17.61,4.84,0.0,0.0,1,0,0,0,2,2
ThieAd00,MIN,WR,30,7,7,0,0,0,0.0,0,0,3,15,5.0,0,53,35,442,12.63,7,0,0,7,1.0,0.0,90.0,124.7,127.7,107.2,28.0,6,0.0,0.0,0.0,0.0,0.0,0.43,2.14,5.0,63.14,1.0,0.0,1.0,0.14,12.86,17.81,0.0,0.21,12.31,17.31,0,0,1,0,1,1
WoodRo02,LAR,WR,28,8,8,0,0,0,0.0,0,0,16,108,6.75,2,54,37,436,11.78,4,2,1,6,0.0,0.0,88.0,125.4,132.4,106.9,27.0,7,0.0,0.0,0.0,0.0,0.0,2.0,13.5,4.62,54.5,0.5,0.25,0.75,0.0,11.0,15.68,0.0,2.6,8.45,13.08,0,0,1,0,1,1
DiggSt00,BUF,WR,27,8,8,0,0,0,0.0,0,0,0,0,0.0,0,79,54,695,12.87,3,0,0,3,0.0,0.0,88.0,141.5,144.5,114.5,26.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,86.88,0.38,0.0,0.38,0.0,11.0,17.69,0.0,0.0,10.94,17.69,0,0,1,0,1,1
HopkDe00,ARI,WR,28,7,7,0,0,0,0.0,0,0,0,0,0.0,0,73,57,704,12.35,3,1,1,3,0.0,0.0,86.0,143.4,147.4,114.9,25.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,100.57,0.43,0.14,0.43,0.0,12.29,20.49,0.0,-0.29,12.63,20.77,0,0,1,0,1,1
JacoJo01,LVR,RB,22,7,7,0,0,0,0.0,0,0,147,523,3.56,5,25,18,122,6.78,0,1,1,5,0.0,0.0,93.0,110.5,117.5,101.5,24.0,9,0.0,0.0,0.0,0.0,0.0,21.0,74.71,2.57,17.43,0.0,0.14,0.71,0.0,13.29,15.79,0.0,11.47,1.74,4.31,0,1,0,0,1,1
ConnJa00,PIT,RB,25,7,6,0,0,0,0.0,0,0,110,498,4.53,5,23,18,125,6.94,0,1,0,5,0.0,0.0,92.0,110.3,116.3,101.3,24.0,10,0.0,0.0,0.0,0.0,0.0,15.71,71.14,2.57,17.86,0.0,0.14,0.71,0.0,13.14,15.76,0.0,11.4,1.79,4.36,0,1,0,0,1,1
BradTo00,TAM,QB,43,8,8,204,308,2189,7.11,20,4,17,6,0.35,2,0,0,0,0.0,0,4,1,2,0.0,0.0,170.0,170.2,178.2,174.2,23.0,6,2.5,25.5,38.5,273.62,0.5,2.12,0.75,0.0,0.0,0.0,0.5,0.25,0.0,21.25,21.28,19.94,1.32,0.0,0.0,1,0,0,0,2,2
RobiAl02,CHI,WR,27,8,8,0,0,0,0.0,0,0,1,-1,-1.0,0,77,50,631,12.62,3,0,0,3,0.0,0.0,81.0,131.0,134.0,106.0,20.0,10,0.0,0.0,0.0,0.0,0.0,0.12,-0.12,6.25,78.88,0.38,0.0,0.38,0.0,10.12,16.38,0.0,-0.01,10.14,16.39,0,0,1,0,1,1
BoydTy00,CIN,WR,26,8,5,1,1,16,16.0,0,0,4,38,9.5,0,68,54,584,10.81,3,1,0,3,0.0,0.0,81.0,134.8,137.8,107.8,19.0,11,0.0,0.12,0.12,2.0,0.0,0.5,4.75,6.75,73.0,0.38,0.12,0.38,0.0,10.12,16.85,0.08,0.48,9.55,16.3,0,0,1,0,1,1
MoorD.00,CAR,WR,23,8,8,0,0,0,0.0,0,0,0,0,0.0,0,59,33,622,18.85,3,0,0,3,0.0,0.0,80.0,113.2,116.2,96.7,19.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,77.75,0.38,0.0,0.38,0.0,10.0,14.15,0.0,0.0,10.02,14.15,0,0,1,0,1,1
EvanMi00,TAM,WR,27,8,8,0,0,0,0.0,0,0,0,0,0.0,0,46,30,373,12.43,7,0,0,7,0.0,0.0,79.0,109.3,112.3,94.3,18.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,46.62,0.88,0.0,0.88,0.0,9.88,13.66,0.0,0.0,9.91,13.66,0,0,1,0,1,1
