Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
HolmPr00,KAN,RB,30,16,16,0,1,0,0.0,0,0,320,1420,4.44,27,90.0,74,690,9.32,0,1,1.0,27,0.0,0.0,371.0,445.0,452.0,408.0,229.0,1,0.0,0.0,0.06,0.0,0.0,20.0,88.75,4.62,43.12,0.0,0.06,1.69,0.0,23.19,27.81,0.0,18.88,4.31,8.94,0,1,0,0,2,4
TomlLa00,SDG,RB,24,16,16,1,1,21,21.0,1,0,313,1645,5.26,13,137.0,100,725,7.25,4,2,0.0,17,0.0,0.0,344.0,443.8,449.8,393.8,202.0,2,0.06,0.06,0.06,1.31,0.0,19.56,102.81,6.25,45.31,0.25,0.12,1.06,0.0,21.5,27.74,0.3,15.16,6.03,12.28,0,1,0,0,2,4
GreeAh00,GNB,RB,26,16,16,0,0,0,0.0,0,0,355,1883,5.3,15,60.0,50,367,7.34,5,7,5.0,20,0.0,0.0,335.0,385.0,396.0,360.0,193.0,3,0.0,0.0,0.0,0.0,0.0,22.19,117.69,3.12,22.94,0.31,0.44,1.25,0.0,20.94,24.06,0.0,16.77,4.17,7.29,0,1,0,0,2,4
MossRa00,MIN,WR,26,16,16,0,1,0,0.0,0,0,6,18,3.0,0,172.0,111,1632,14.7,17,1,1.0,17,0.0,0.0,265.0,376.0,380.0,320.5,161.0,1,0.0,0.0,0.06,0.0,0.0,0.38,1.12,6.94,102.0,1.06,0.06,1.06,0.0,16.56,23.5,0.0,-0.01,16.58,23.51,0,0,1,0,2,3
LewiJa00,BAL,RB,24,16,16,0,0,0,0.0,0,0,387,2066,5.34,14,38.0,26,205,7.88,0,8,6.0,14,0.0,0.0,299.0,325.1,337.1,312.1,157.0,4,0.0,0.0,0.0,0.0,0.0,24.19,129.12,1.62,12.81,0.0,0.5,0.88,0.0,18.69,20.32,0.0,17.41,1.28,2.91,0,1,0,0,2,3
HoltTo00,STL,WR,27,16,15,0,0,0,0.0,0,0,1,5,5.0,0,183.0,117,1696,14.5,12,1,0.0,12,0.0,0.0,242.0,359.1,362.1,300.6,138.0,2,0.0,0.0,0.0,0.0,0.0,0.06,0.31,7.31,106.0,0.75,0.06,0.75,0.0,15.12,22.44,0.0,0.03,15.1,22.41,0,0,1,0,2,3
PortCl00,DEN,RB,22,13,13,0,0,0,0.0,0,0,290,1591,5.49,14,51.0,38,314,8.26,0,3,1.0,14,1.0,0.0,275.0,312.5,319.5,293.5,133.0,5,0.0,0.0,0.0,0.0,0.0,22.31,122.38,2.92,24.15,0.0,0.23,1.08,0.08,21.15,24.04,0.0,18.55,2.42,5.34,0,1,0,0,2,3
AlexSh00,SEA,RB,26,16,15,0,0,0,0.0,0,0,326,1435,4.4,14,59.0,42,295,7.02,2,4,3.0,16,0.0,0.0,263.0,305.0,314.0,284.0,121.0,6,0.0,0.0,0.0,0.0,0.0,20.38,89.69,2.62,18.44,0.12,0.25,1.0,0.0,16.44,19.06,0.0,13.84,2.59,5.22,0,1,0,0,2,3
McAlDe00,NOR,RB,25,16,16,0,2,0,0.0,0,0,351,1641,4.68,8,87.0,69,516,7.48,0,6,3.0,8,0.0,0.0,258.0,326.7,335.7,292.2,116.0,7,0.0,0.0,0.12,0.0,0.0,21.94,102.56,4.31,32.25,0.0,0.38,0.5,0.0,16.12,20.42,0.0,12.88,3.22,7.54,0,1,0,0,2,3
JohnCh01,CIN,WR,25,16,14,0,0,0,0.0,0,0,0,0,0.0,0,154.0,90,1355,15.06,10,0,0.0,10,0.0,0.0,196.0,285.5,288.5,240.5,91.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,84.69,0.62,0.0,0.62,0.0,12.25,17.84,0.0,0.0,12.22,17.84,0,0,1,0,2,2
