Player,Tm,FantPos,Age,G,GS,Cmp,QBAtt,QBYds,QBY/A,QBTD,Int,RBAtt,RBYds,Y/A,RBTD,Tgt,Rec,WRYds,Y/R,WRTD,Fmb,FL,TOTTD,2PM,2PP,FantPt,PPRPt,DKPt,FDPt,VBD,PosRank,QBTD/G,Cmp/G,QBAtt/G,QBYds/G,Int/G,RBAtt/G,RBYds/G,Rec/G,WRYds/G,WRTD/G,Fmb/G,TOTTD/G,2PM/G,FantPt/G,PPR/G,QBPt/G,RBPt/G,WRPt/G,WRPPRPt/G,QB,RB,WR,TE,3Cat,6Cat
CulpDa00,MIN,QB,27,16,16,379,548,4717,8.61,39,11,88,406,4.61,2,0.0,0,0,0.0,0,9,5.0,2,1.0,2.0,371.0,371.3,393.3,382.3,153.0,1,2.44,23.69,34.25,294.81,0.69,5.5,25.38,0.0,0.0,0.0,0.56,0.12,0.06,23.19,23.21,20.17,2.66,0.0,0.0,1,0,0,0,2,4
AlexSh00,SEA,RB,27,16,16,0,0,0,0.0,0,0,353,1696,4.8,16,38.0,23,170,7.39,4,5,3.0,20,0.0,0.0,301.0,323.6,332.6,312.1,146.0,1,0.0,0.0,0.0,0.0,0.0,22.06,106.0,1.44,10.62,0.25,0.31,1.25,0.0,18.81,20.23,0.0,16.23,2.56,4.0,0,1,0,0,2,4
BarbTi00,NYG,RB,29,16,14,0,0,0,0.0,0,0,322,1518,4.71,13,79.0,52,578,11.12,2,5,2.0,15,0.0,0.0,296.0,347.6,355.6,321.6,141.0,2,0.0,0.0,0.0,0.0,0.0,20.12,94.88,3.25,36.12,0.12,0.31,0.94,0.0,18.5,21.72,0.0,14.11,4.36,7.61,0,1,0,0,2,3
MannPe00,IND,QB,28,16,16,336,497,4557,9.17,49,10,25,38,1.52,0,0.0,0,0,0.0,0,5,1.0,0,0.0,0.0,360.0,360.1,374.1,370.1,141.0,2,3.06,21.0,31.06,284.81,0.62,1.56,2.38,0.0,0.0,0.0,0.31,0.0,0.0,22.5,22.51,22.39,0.11,0.0,0.0,1,0,0,0,2,4
TomlLa00,SDG,RB,25,15,15,1,2,38,19.0,0,0,339,1335,3.94,17,66.0,53,441,8.32,1,6,2.0,18,0.0,0.0,283.0,336.1,344.1,309.6,129.0,3,0.0,0.07,0.13,2.53,0.0,22.6,89.0,3.53,29.4,0.07,0.4,1.2,0.0,18.87,22.41,0.1,15.43,3.34,6.87,0,1,0,0,2,3
MartCu00,NYJ,RB,31,16,16,0,0,0,0.0,0,0,371,1697,4.57,12,49.0,41,245,5.98,2,2,0.0,14,0.0,0.0,278.0,319.2,325.2,298.7,124.0,4,0.0,0.0,0.0,0.0,0.0,23.19,106.06,2.56,15.31,0.12,0.12,0.88,0.0,17.38,19.95,0.0,15.11,2.28,4.84,0,1,0,0,2,3
MuhaMu00,CAR,WR,31,16,16,0,0,0,0.0,0,0,3,15,5.0,0,160.0,93,1405,15.11,16,3,1.0,16,0.0,0.0,236.0,329.0,333.0,282.5,109.0,1,0.0,0.0,0.0,0.0,0.0,0.19,0.94,5.81,87.81,1.0,0.19,1.0,0.0,14.75,20.56,0.0,-0.03,14.78,20.59,0,0,1,0,2,3
GateAn00,SDG,TE,24,15,15,0,0,0,0.0,0,0,0,0,0.0,0,114.0,81,964,11.9,13,0,0.0,13,0.0,0.0,174.0,255.4,258.4,214.9,105.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,64.27,0.87,0.0,0.87,0.0,11.6,17.03,0.0,0.0,11.63,17.03,0,0,0,1,2,2
DaviDo01,HOU,RB,24,15,15,0,0,0,0.0,0,0,302,1188,3.93,13,84.0,68,588,8.65,1,4,3.0,14,0.0,0.0,256.0,323.6,332.6,289.6,101.0,5,0.0,0.0,0.0,0.0,0.0,20.13,79.2,4.53,39.2,0.07,0.27,0.93,0.0,17.07,21.57,0.0,12.72,4.32,8.85,0,1,0,0,2,3
JameEd00,IND,RB,26,16,16,0,0,0,0.0,0,0,334,1548,4.63,9,60.0,51,483,9.47,0,6,2.0,9,1.0,0.0,255.0,306.1,314.1,280.6,101.0,6,0.0,0.0,0.0,0.0,0.0,20.88,96.75,3.19,30.19,0.0,0.38,0.56,0.06,15.94,19.13,0.0,12.8,3.02,6.21,0,1,0,0,2,3
